name,effect,attack
B11-49406-4413-07534.wav,Distortion,21609
B12-38205-4413-07559.wav,Distortion,22932
G93-60501-4413-39288.wav,Distortion,22491
B11-32104-4412-06869.wav,Distortion,20286
G93-71512-4411-38051.wav,Distortion,22050
G63-55305-4411-37550.wav,Distortion,22932
B33-34201-4411-06619.wav,Distortion,20727
B23-30102-4412-07127.wav,Distortion,19845
B43-35107-4413-07964.wav,Distortion,22932
B13-39206-4411-06364.wav,Distortion,22491
B21-40112-4412-07033.wav,Distortion,21609
B12-41303-4413-07570.wav,Distortion,22491
B53-45307-4411-06846.wav,Distortion,22491
B22-39301-4413-07724.wav,Distortion,21609
G73-63408-4412-38346.wav,Distortion,21609
B22-39111-4411-06460.wav,Distortion,21168
B12-40207-4413-07561.wav,Distortion,21168
G81-67603-4413-39069.wav,Distortion,22491
B23-44306-4411-06533.wav,Distortion,21609
G63-51206-4413-38786.wav,Distortion,21609
G83-51301-4412-38482.wav,Distortion,21168
G63-60501-4411-37572.wav,Distortion,21609
B31-40302-4413-07829.wav,Distortion,19845
G81-51301-4412-38404.wav,Distortion,22491
B31-49406-4412-07222.wav,Distortion,21168
B51-36108-4413-08017.wav,Distortion,22050
B22-48405-4411-06493.wav,Distortion,22050
B31-33200-4411-06566.wav,Distortion,20286
G73-54304-4411-37705.wav,Distortion,22050
G73-63504-4411-37731.wav,Distortion,21609
B53-36108-4411-06821.wav,Distortion,21168
G83-52207-4413-39099.wav,Distortion,21168
B53-47309-4412-07472.wav,Distortion,21168
G71-71512-4412-38285.wav,Distortion,22491
G83-51301-4413-39106.wav,Distortion,22050
B53-40302-4412-07465.wav,Distortion,21609
B41-45402-4412-07322.wav,Distortion,20727
B53-40207-4411-06833.wav,Distortion,21168
B12-47404-4411-06336.wav,Distortion,22932
G93-45200-4413-39248.wav,Distortion,22932
G91-41101-4413-39158.wav,Distortion,20727
G61-61502-4413-38743.wav,Distortion,21168
B11-49406-4411-06286.wav,Distortion,20727
G73-41101-4413-38924.wav,Distortion,22932
B43-54411-4412-07383.wav,Distortion,21609
B21-50407-4412-07067.wav,Distortion,21168
G83-71607-4413-39151.wav,Distortion,22491
B43-48405-4413-08001.wav,Distortion,22491
G81-63408-4411-37800.wav,Distortion,20727
B23-44306-4412-07157.wav,Distortion,22050
B12-42209-4411-06315.wav,Distortion,21168
G81-51111-4413-39012.wav,Distortion,22491
G91-58403-4413-39199.wav,Distortion,22491
B51-42209-4411-06783.wav,Distortion,22491
G83-59404-4411-37874.wav,Distortion,21168
G91-43103-4411-37912.wav,Distortion,21168
B12-43400-4413-07580.wav,Distortion,22050
G71-47202-4411-37612.wav,Distortion,22491
B43-52409-4412-07381.wav,Distortion,21609
B22-49406-4412-07118.wav,Distortion,22491
B41-44306-4413-07937.wav,Distortion,22491
B21-40302-4413-07673.wav,Distortion,20727
G93-59404-4413-39278.wav,Distortion,23373
B51-53410-4413-08058.wav,Distortion,22491
G93-52302-4412-38639.wav,Distortion,22050
G81-46201-4412-38391.wav,Distortion,22932
B11-51408-4413-07536.wav,Distortion,22491
G71-50300-4413-38871.wav,Distortion,22050
G83-45200-4411-37844.wav,Distortion,22491
G61-45200-4411-37454.wav,Distortion,23373
G73-71512-4412-38363.wav,Distortion,21168
B13-50312-4411-06383.wav,Distortion,21609
B51-49406-4411-06806.wav,Distortion,22491
B12-44211-4411-06317.wav,Distortion,21168
G73-65601-4412-38365.wav,Distortion,22050
B12-34201-4412-06931.wav,Distortion,20727
G91-72608-4411-37982.wav,Distortion,22932
B33-35107-4411-06612.wav,Distortion,20727
B33-50407-4412-07275.wav,Distortion,21609
B11-37204-4413-07506.wav,Distortion,21168
G81-65410-4411-37802.wav,Distortion,20727
B41-49311-4412-07318.wav,Distortion,22050
B21-53410-4412-07070.wav,Distortion,22050
B41-52409-4413-07953.wav,Distortion,23373
G71-48203-4413-38861.wav,Distortion,22491
G73-52302-4413-38951.wav,Distortion,22491
B53-45402-4413-08102.wav,Distortion,22491
G71-56211-4411-37621.wav,Distortion,22050
G71-57212-4413-38870.wav,Distortion,22932
G71-56401-4412-38261.wav,Distortion,21168
B33-48310-4411-06641.wav,Distortion,20286
G71-62407-4412-38267.wav,Distortion,22050
B31-39111-4411-06564.wav,Distortion,21609
B23-36108-4413-07757.wav,Distortion,21168
B53-33200-4412-07450.wav,Distortion,20286
G63-62312-4413-38805.wav,Distortion,22932
G71-69605-4411-37667.wav,Distortion,22491
G63-46106-4411-37525.wav,Distortion,21609
B23-36203-4411-06517.wav,Distortion,22050
B51-42304-4411-06791.wav,Distortion,22050
B21-43305-4411-06428.wav,Distortion,21168
B22-33200-4411-06462.wav,Distortion,22491
B31-48405-4411-06597.wav,Distortion,21609
B51-33200-4412-07398.wav,Distortion,22932
G93-53208-4411-38008.wav,Distortion,21609
G73-75611-4413-38999.wav,Distortion,22050
B43-43305-4411-06740.wav,Distortion,21168
G71-40100-4411-37597.wav,Distortion,22050
G71-51111-4413-38856.wav,Distortion,22050
G93-40100-4411-37987.wav,Distortion,22491
G71-57402-4413-38886.wav,Distortion,21168
G83-70511-4412-38518.wav,Distortion,22050
B13-37204-4412-06986.wav,Distortion,19845
G83-60501-4411-37884.wav,Distortion,23373
B31-51408-4413-07848.wav,Distortion,22050
G83-61406-4412-38500.wav,Distortion,20727
G61-62407-4413-38735.wav,Distortion,21609
G61-60501-4411-37494.wav,Distortion,20727
G81-65506-4413-39059.wav,Distortion,22491
B41-38110-4412-07291.wav,Distortion,21609
G63-65506-4413-38825.wav,Distortion,22050
B33-45307-4412-07262.wav,Distortion,20286
B13-46403-4413-07635.wav,Distortion,22050
B33-44211-4411-06629.wav,Distortion,21168
G83-57212-4413-39104.wav,Distortion,22050
B31-44401-4413-07841.wav,Distortion,22491
B23-33200-4413-07762.wav,Distortion,22491
B21-34106-4411-06403.wav,Distortion,21168
B11-44401-4412-06905.wav,Distortion,20727
G93-70606-4411-38058.wav,Distortion,22491
B43-43400-4412-07372.wav,Distortion,20286
G81-50110-4413-39011.wav,Distortion,21168
B53-35202-4411-06828.wav,Distortion,21609
B22-36108-4411-06457.wav,Distortion,20286
G93-46201-4411-38001.wav,Distortion,21609
B33-36203-4411-06621.wav,Distortion,19845
G81-55210-4413-39024.wav,Distortion,22491
B21-35202-4412-07036.wav,Distortion,20727
G73-55305-4411-37706.wav,Distortion,22050
B43-47309-4412-07368.wav,Distortion,21609
G81-56401-4411-37793.wav,Distortion,22050
G81-66507-4412-38436.wav,Distortion,21609
B53-46308-4412-07471.wav,Distortion,21168
B12-49311-4413-07578.wav,Distortion,23373
G91-71607-4412-38605.wav,Distortion,22050
B53-37109-4411-06822.wav,Distortion,21609
G93-71607-4412-38683.wav,Distortion,22050
G83-50300-4413-39105.wav,Distortion,22491
B53-41303-4412-07466.wav,Distortion,21168
G61-56211-4413-38713.wav,Distortion,23373
G91-51206-4413-39176.wav,Distortion,25578
G61-55210-4412-38088.wav,Distortion,22491
B53-44306-4411-06845.wav,Distortion,22050
B33-46308-4413-07887.wav,Distortion,22050
B43-37109-4411-06718.wav,Distortion,22050
G91-59404-4413-39200.wav,Distortion,21168
G91-43103-4413-39160.wav,Distortion,21609
G63-64505-4412-38200.wav,Distortion,21168
G61-56306-4411-37473.wav,Distortion,23814
G83-56306-4411-37863.wav,Distortion,21609
G93-71607-4413-39307.wav,Distortion,22491
G83-50300-4412-38481.wav,Distortion,21609
G91-59500-4412-38585.wav,Distortion,21609
G91-56211-4412-38557.wav,Distortion,24255
G93-68509-4413-39296.wav,Distortion,22932
G73-42102-4411-37677.wav,Distortion,21168
B23-36108-4412-07133.wav,Distortion,20286
G73-44104-4412-38303.wav,Distortion,21168
B41-35107-4411-06664.wav,Distortion,22491
B13-48405-4412-07013.wav,Distortion,21609
G83-57212-4412-38480.wav,Distortion,21168
B11-44306-4412-06897.wav,Distortion,20727
G91-63504-4412-38589.wav,Distortion,22050
B12-34106-4411-06299.wav,Distortion,21609
G63-49204-4411-37536.wav,Distortion,22050
G73-65410-4411-37724.wav,Distortion,22491
B51-39111-4413-08020.wav,Distortion,22491
B33-39301-4413-07880.wav,Distortion,22491
B51-36203-4411-06777.wav,Distortion,22491
G81-53208-4412-38398.wav,Distortion,23373
B33-36203-4412-07245.wav,Distortion,19845
B22-50312-4412-07111.wav,Distortion,22050
G91-69605-4411-37979.wav,Distortion,21609
B31-53410-4412-07226.wav,Distortion,21168
B51-33200-4413-08022.wav,Distortion,22932
B53-29101-4412-07438.wav,Distortion,20286
B41-41303-4412-07310.wav,Distortion,22491
B51-35202-4412-07400.wav,Distortion,20727
B23-48405-4413-07793.wav,Distortion,21168
G73-59309-4412-38334.wav,Distortion,21609
G73-62503-4412-38354.wav,Distortion,20727
B33-44306-4412-07261.wav,Distortion,20727
B41-39111-4412-07292.wav,Distortion,21609
B12-28100-4412-06917.wav,Distortion,21168
G83-64409-4413-39127.wav,Distortion,22491
G73-49109-4411-37684.wav,Distortion,20727
G71-74610-4413-38920.wav,Distortion,22491
B33-43400-4411-06644.wav,Distortion,21609
G63-47107-4411-37526.wav,Distortion,21168
G83-63408-4411-37878.wav,Distortion,22050
G81-50110-4412-38387.wav,Distortion,21168
B41-40207-4412-07301.wav,Distortion,22491
B43-41208-4411-06730.wav,Distortion,21609
G93-56401-4412-38651.wav,Distortion,21609
B53-38205-4413-08079.wav,Distortion,23373
B51-43305-4411-06792.wav,Distortion,22050
B23-48405-4411-06545.wav,Distortion,20286
G71-60501-4412-38274.wav,Distortion,21168
G93-62407-4412-38657.wav,Distortion,21168
G71-50110-4413-38855.wav,Distortion,22050
B21-40112-4413-07657.wav,Distortion,21609
G63-54209-4411-37541.wav,Distortion,22491
G81-64409-4412-38425.wav,Distortion,22050
G73-49204-4413-38940.wav,Distortion,22491
B53-43210-4412-07460.wav,Distortion,21609
G73-53303-4413-38952.wav,Distortion,21609
G63-65601-4411-37585.wav,Distortion,20286
G71-50205-4413-38863.wav,Distortion,24255
B33-49311-4411-06642.wav,Distortion,21609
G61-71512-4411-37505.wav,Distortion,22491
G63-71512-4411-37583.wav,Distortion,22932
G91-47202-4411-37924.wav,Distortion,22491
G93-49204-4412-38628.wav,Distortion,21168
G71-61406-4413-38890.wav,Distortion,21609
